# channel,epoch_s,h2s
h2s,1700000108.000,2.00055
h2s,1700000108.500,3.36695
h2s,1700000109.000,4.44196
h2s,1700000109.500,5.78398
h2s,1700000110.000,1.71526
h2s,1700000110.500,3.73735
h2s,1700000111.000,3.30562
h2s,1700000111.500,2.79672
h2s,1700000112.000,1.51076
h2s,1700000112.500,0.62271
h2s,1700000113.000,-0.83135
h2s,1700000113.500,-1.07212
h2s,1700000114.000,1.78957
h2s,1700000114.500,0.90244
h2s,1700000115.000,0.10659
h2s,1700000115.500,2.20290
h2s,1700000116.000,0.41639
h2s,1700000116.500,-1.05743
h2s,1700000117.000,0.19412
h2s,1700000117.500,2.33242
h2s,1700000118.000,-1.38666
h2s,1700000118.500,1.05263
h2s,1700000119.000,0.50087
h2s,1700000119.500,-0.92884
h2s,1700000120.000,0.10008
h2s,1700000120.500,-2.42023
h2s,1700000121.000,0.98495
h2s,1700000121.500,-1.91424
h2s,1700000122.000,3.01764
h2s,1700000122.500,0.75537
h2s,1700000123.000,-0.12765
h2s,1700000123.500,3.42508
h2s,1700000124.000,-0.85917
h2s,1700000124.500,-0.17633
h2s,1700000125.000,-2.20959
h2s,1700000125.500,4.21462
h2s,1700000126.000,5.50637
h2s,1700000126.500,-1.40162
h2s,1700000127.000,0.52037
h2s,1700000127.500,2.52086
h2s,1700000128.000,1.60362
h2s,1700000128.500,2.85203
h2s,1700000129.000,2.98633
h2s,1700000129.500,4.37190
h2s,1700000130.000,1.99956
h2s,1700000130.500,4.70177
h2s,1700000131.000,2.51000
h2s,1700000131.500,4.37551
h2s,1700000132.000,2.21386
h2s,1700000132.500,5.39723
h2s,1700000133.000,5.60991
h2s,1700000133.500,9.22061
h2s,1700000134.000,7.82044
h2s,1700000134.500,8.81493
h2s,1700000135.000,9.17902
h2s,1700000135.500,5.63984
h2s,1700000136.000,6.59509
h2s,1700000136.500,10.65557
h2s,1700000137.000,12.56282
h2s,1700000137.500,12.25300
h2s,1700000138.000,11.71098
h2s,1700000138.500,13.66899
h2s,1700000139.000,94.19468
h2s,1700000139.500,17.08920
h2s,1700000140.000,17.63701
h2s,1700000140.500,95.71562
h2s,1700000141.000,17.32016
h2s,1700000141.500,18.53054
h2s,1700000142.000,19.34088
h2s,1700000142.500,22.26060
h2s,1700000143.000,19.30874
h2s,1700000143.500,22.05389
h2s,1700000144.000,17.68578
h2s,1700000144.500,18.95538
h2s,1700000145.000,16.11679
h2s,1700000145.500,20.78009
h2s,1700000146.000,21.79198
h2s,1700000146.500,15.33587
h2s,1700000147.000,20.70373
h2s,1700000147.500,21.34820
h2s,1700000148.000,20.98095
h2s,1700000148.500,17.17818
h2s,1700000149.000,20.73957
h2s,1700000149.500,18.77917
h2s,1700000150.000,19.45802
h2s,1700000150.500,17.49249
h2s,1700000151.000,17.93253
h2s,1700000151.500,18.77851
h2s,1700000152.000,15.51046
h2s,1700000152.500,15.81971
h2s,1700000153.000,17.06422
h2s,1700000153.500,13.59720
h2s,1700000154.000,10.90311
h2s,1700000154.500,13.79276
h2s,1700000155.000,14.59874
h2s,1700000155.500,13.60111
h2s,1700000156.000,11.75864
h2s,1700000156.500,4.96000
h2s,1700000157.000,7.71434
h2s,1700000157.500,7.17564
h2s,1700000158.000,7.81720
h2s,1700000158.500,90.51259
h2s,1700000159.000,4.41133
h2s,1700000159.500,10.52224
h2s,1700000160.000,4.76860
h2s,1700000160.500,3.52544
h2s,1700000161.000,6.30638
h2s,1700000161.500,6.05194
h2s,1700000162.000,5.12078
h2s,1700000162.500,1.92907
h2s,1700000163.000,4.14778
h2s,1700000163.500,0.77993
h2s,1700000164.000,0.98225
h2s,1700000164.500,2.14174
h2s,1700000165.000,0.46991
h2s,1700000165.500,4.01584
h2s,1700000166.000,0.57518
h2s,1700000166.500,1.13091
h2s,1700000167.000,-0.33062
h2s,1700000167.500,3.37914
h2s,1700000168.000,-0.13941
h2s,1700000168.500,3.37919
h2s,1700000169.000,3.14669
h2s,1700000169.500,0.04304
h2s,1700000170.000,0.92933
h2s,1700000170.500,-0.13367
h2s,1700000171.000,1.85664
h2s,1700000171.500,0.33450
h2s,1700000172.000,-0.14730
h2s,1700000172.500,0.74946
h2s,1700000173.000,-2.53332
h2s,1700000173.500,0.45737
h2s,1700000174.000,1.88967
h2s,1700000174.500,0.85088
h2s,1700000175.000,2.46493
h2s,1700000175.500,-0.20398
h2s,1700000176.000,-0.37713
h2s,1700000176.500,-1.70080
h2s,1700000177.000,-0.28395
h2s,1700000177.500,4.45413
h2s,1700000178.000,1.06916
h2s,1700000178.500,-0.65650
h2s,1700000179.000,-1.50057
h2s,1700000179.500,-2.68767
h2s,1700000180.000,-1.15328
h2s,1700000180.500,2.02705
h2s,1700000181.000,-0.34410
h2s,1700000181.500,-1.40492
h2s,1700000182.000,-1.18331
h2s,1700000182.500,1.81385
h2s,1700000183.000,0.35439
h2s,1700000183.500,-0.73524
h2s,1700000184.000,-0.09511
h2s,1700000184.500,4.93617
h2s,1700000185.000,2.96666
h2s,1700000185.500,3.46795
h2s,1700000186.000,-2.96993
h2s,1700000186.500,0.23596
h2s,1700000187.000,-0.74720
h2s,1700000187.500,1.63459
h2s,1700000188.000,2.67139
h2s,1700000188.500,1.20985
h2s,1700000189.000,-1.18239
h2s,1700000189.500,-0.75357
h2s,1700000190.000,1.81585
h2s,1700000190.500,2.02145
h2s,1700000191.000,0.87014
h2s,1700000191.500,0.85507
h2s,1700000192.000,0.70329
h2s,1700000192.500,1.14908
h2s,1700000193.000,2.05092
h2s,1700000193.500,1.88769
h2s,1700000194.000,0.68309
h2s,1700000194.500,0.54657
h2s,1700000195.000,0.47896
h2s,1700000195.500,-0.89812
h2s,1700000196.000,-0.91446
h2s,1700000196.500,1.76857
h2s,1700000197.000,-0.73605
h2s,1700000197.500,2.32650
h2s,1700000198.000,0.60476
h2s,1700000198.500,2.35526
h2s,1700000199.000,1.99838
h2s,1700000199.500,2.41842
h2s,1700000200.000,-0.21242
h2s,1700000200.500,1.56546
h2s,1700000201.000,2.23035
h2s,1700000201.500,-2.34166
h2s,1700000202.000,4.17027
h2s,1700000202.500,5.30410
h2s,1700000203.000,2.67147
h2s,1700000203.500,2.39270
h2s,1700000204.000,1.96184
h2s,1700000204.500,0.14013
h2s,1700000205.000,0.56862
h2s,1700000205.500,2.71901
h2s,1700000206.000,-1.15574
h2s,1700000206.500,-1.33098
h2s,1700000207.000,-0.00518
h2s,1700000207.500,2.10029
h2s,1700000208.000,-0.94650
h2s,1700000208.500,0.33144
h2s,1700000209.000,0.56516
h2s,1700000209.500,-1.24963
h2s,1700000210.000,-4.11043
h2s,1700000210.500,-1.28949
h2s,1700000211.000,1.27921
h2s,1700000211.500,1.72315
h2s,1700000212.000,1.73258
h2s,1700000212.500,1.95560
h2s,1700000213.000,-0.52407
h2s,1700000213.500,-0.96053
h2s,1700000214.000,1.46253
h2s,1700000214.500,0.28046
h2s,1700000215.000,2.50951
h2s,1700000215.500,1.44941
h2s,1700000216.000,3.24556
h2s,1700000216.500,-0.26189
h2s,1700000217.000,2.79554
h2s,1700000217.500,4.72120
h2s,1700000218.000,0.75082
h2s,1700000218.500,1.63359
h2s,1700000219.000,-1.23426
h2s,1700000219.500,2.40694
h2s,1700000220.000,2.86920
h2s,1700000220.500,-0.38530
h2s,1700000221.000,1.76871
h2s,1700000221.500,1.15041
h2s,1700000222.000,1.36441
h2s,1700000222.500,2.20055
h2s,1700000223.000,1.60830
h2s,1700000223.500,0.28684
h2s,1700000224.000,2.22603
h2s,1700000224.500,2.77809
h2s,1700000225.000,-0.55876
h2s,1700000225.500,0.54159
h2s,1700000226.000,-2.99635
h2s,1700000226.500,1.70438
h2s,1700000227.000,2.97985
h2s,1700000227.500,0.01572
h2s,1700000228.000,0.79414
h2s,1700000228.500,0.08408
h2s,1700000229.000,-0.24588
h2s,1700000229.500,0.98391
h2s,1700000230.000,-1.05105
h2s,1700000230.500,0.04494
h2s,1700000231.000,-1.29536
h2s,1700000231.500,1.69031
h2s,1700000232.000,0.98920
h2s,1700000232.500,-0.35303
h2s,1700000233.000,0.58245
h2s,1700000233.500,0.06581
h2s,1700000234.000,2.79414
h2s,1700000234.500,-0.37649
h2s,1700000235.000,1.77490
h2s,1700000235.500,-0.90624
h2s,1700000236.000,2.13209
h2s,1700000236.500,2.57773
h2s,1700000237.000,2.67170
h2s,1700000237.500,3.44434
h2s,1700000238.000,1.08687
h2s,1700000238.500,2.97758
h2s,1700000239.000,3.74980
h2s,1700000239.500,-1.74288
h2s,1700000240.000,-0.70440
h2s,1700000240.500,-2.48886
h2s,1700000241.000,2.62540
h2s,1700000241.500,-2.51327
h2s,1700000242.000,-3.05506
h2s,1700000242.500,-1.68918
h2s,1700000243.000,-2.96984
h2s,1700000243.500,1.05251
h2s,1700000244.000,-1.65921
h2s,1700000244.500,-2.86871
h2s,1700000245.000,0.43046
h2s,1700000245.500,0.55121
h2s,1700000246.000,-3.21932
h2s,1700000246.500,-0.90332
h2s,1700000247.000,0.37928
h2s,1700000247.500,-0.17986
h2s,1700000248.000,-0.11910
h2s,1700000248.500,2.90549
h2s,1700000249.000,4.84817
h2s,1700000249.500,-0.06211
h2s,1700000250.000,-2.06847
h2s,1700000250.500,0.11853
h2s,1700000251.000,0.99044
h2s,1700000251.500,0.51144
h2s,1700000252.000,1.85772
h2s,1700000252.500,5.08092
h2s,1700000253.000,-2.74569
h2s,1700000253.500,-0.30722
h2s,1700000254.000,3.81883
h2s,1700000254.500,-0.27444
h2s,1700000255.000,2.38555
h2s,1700000255.500,2.10938
h2s,1700000256.000,3.36676
h2s,1700000256.500,4.76982
h2s,1700000257.000,1.66446
h2s,1700000257.500,-2.43285
h2s,1700000258.000,-0.27591
h2s,1700000258.500,5.56899
h2s,1700000259.000,-1.55342
h2s,1700000259.500,2.35303
h2s,1700000260.000,-3.57864
h2s,1700000260.500,-1.15445
h2s,1700000261.000,3.42626
h2s,1700000261.500,1.83549
h2s,1700000262.000,1.12865
h2s,1700000262.500,0.37747
h2s,1700000263.000,-1.85571
h2s,1700000263.500,3.66167
h2s,1700000264.000,1.85203
h2s,1700000264.500,-0.47635
h2s,1700000265.000,2.78190
h2s,1700000265.500,4.04268
h2s,1700000266.000,2.64136
h2s,1700000266.500,3.44031
h2s,1700000267.000,3.45247
h2s,1700000267.500,2.13188
h2s,1700000268.000,3.82361
h2s,1700000268.500,5.35446
h2s,1700000269.000,6.12047
h2s,1700000269.500,5.79685
h2s,1700000270.000,3.02528
h2s,1700000270.500,5.80266
h2s,1700000271.000,5.60939
h2s,1700000271.500,3.39952
h2s,1700000272.000,4.02187
h2s,1700000272.500,6.43140
h2s,1700000273.000,7.93622
h2s,1700000273.500,1.65731
h2s,1700000274.000,8.64599
h2s,1700000274.500,7.76555
h2s,1700000275.000,5.89226
h2s,1700000275.500,5.05426
h2s,1700000276.000,6.34267
h2s,1700000276.500,4.29091
h2s,1700000277.000,5.21089
h2s,1700000277.500,2.59447
h2s,1700000278.000,2.02388
h2s,1700000278.500,10.11842
h2s,1700000279.000,5.51176
h2s,1700000279.500,5.71031
h2s,1700000280.000,5.14504
h2s,1700000280.500,3.44163
h2s,1700000281.000,4.36179
h2s,1700000281.500,5.02612
h2s,1700000282.000,4.30852
h2s,1700000282.500,3.04688
h2s,1700000283.000,5.35240
h2s,1700000283.500,4.60621
h2s,1700000284.000,4.84656
h2s,1700000284.500,5.29856
h2s,1700000285.000,3.37287
h2s,1700000285.500,3.20052
h2s,1700000286.000,6.32767
h2s,1700000286.500,1.30041
h2s,1700000287.000,-0.73093
h2s,1700000287.500,3.95849
h2s,1700000288.000,1.42381
h2s,1700000288.500,0.36772
h2s,1700000289.000,4.13826
h2s,1700000289.500,1.92964
h2s,1700000290.000,-0.45005
h2s,1700000290.500,5.81174
h2s,1700000291.000,-1.40762
h2s,1700000291.500,1.51964
h2s,1700000292.000,-2.19889
h2s,1700000292.500,2.01510
h2s,1700000293.000,0.09308
h2s,1700000293.500,2.92265
h2s,1700000294.000,1.16523
h2s,1700000294.500,3.82401
h2s,1700000295.000,0.19277
h2s,1700000295.500,-2.22116
h2s,1700000296.000,1.40470
h2s,1700000296.500,0.37194
h2s,1700000297.000,-2.80877
h2s,1700000297.500,-1.32337
h2s,1700000298.000,-0.72466
h2s,1700000298.500,3.82680
h2s,1700000299.000,2.10123
h2s,1700000299.500,-0.03530
h2s,1700000300.000,1.57893
h2s,1700000300.500,-3.40931
h2s,1700000301.000,-0.42086
h2s,1700000301.500,1.55852
h2s,1700000302.000,1.14459
h2s,1700000302.500,-0.19609
h2s,1700000303.000,0.88824
h2s,1700000303.500,1.73901
h2s,1700000304.000,1.16028
h2s,1700000304.500,3.03835
h2s,1700000305.000,2.11544
h2s,1700000305.500,2.69016
h2s,1700000306.000,5.31633
h2s,1700000306.500,3.80204
h2s,1700000307.000,5.92778
h2s,1700000307.500,1.44706
h2s,1700000308.000,0.00283
h2s,1700000308.500,3.36157
h2s,1700000309.000,3.70943
h2s,1700000309.500,7.66859
h2s,1700000310.000,3.15638
h2s,1700000310.500,6.01014
h2s,1700000311.000,7.82171
h2s,1700000311.500,8.15437
h2s,1700000312.000,8.66063
h2s,1700000312.500,10.88424
h2s,1700000313.000,13.60951
h2s,1700000313.500,15.93431
h2s,1700000314.000,14.47316
h2s,1700000314.500,14.45903
h2s,1700000315.000,20.98573
h2s,1700000315.500,17.73338
h2s,1700000316.000,25.58989
h2s,1700000316.500,26.96585
h2s,1700000317.000,29.67311
h2s,1700000317.500,30.62713
h2s,1700000318.000,27.73432
h2s,1700000318.500,32.71858
h2s,1700000319.000,38.37434
h2s,1700000319.500,39.48881
h2s,1700000320.000,43.39235
h2s,1700000320.500,48.51995
h2s,1700000321.000,50.29779
h2s,1700000321.500,51.59643
h2s,1700000322.000,59.23542
h2s,1700000322.500,61.93432
h2s,1700000323.000,63.83419
h2s,1700000323.500,69.14487
h2s,1700000324.000,71.23943
h2s,1700000324.500,76.94964
h2s,1700000325.000,77.71099
h2s,1700000325.500,83.03574
h2s,1700000326.000,79.45158
h2s,1700000326.500,86.73493
h2s,1700000327.000,87.42109
h2s,1700000327.500,88.65945
h2s,1700000328.000,94.59533
h2s,1700000328.500,95.67922
h2s,1700000329.000,91.21716
h2s,1700000329.500,97.68375
h2s,1700000330.000,98.14748
h2s,1700000330.500,95.89663
h2s,1700000331.000,95.72953
h2s,1700000331.500,93.95005
h2s,1700000332.000,95.86413
h2s,1700000332.500,95.27559
h2s,1700000333.000,96.00889
h2s,1700000333.500,93.44347
h2s,1700000334.000,88.99544
h2s,1700000334.500,89.54202
h2s,1700000335.000,86.26360
h2s,1700000335.500,82.38963
h2s,1700000336.000,78.37137
h2s,1700000336.500,79.91907
h2s,1700000337.000,76.53459
h2s,1700000337.500,73.60666
h2s,1700000338.000,67.79276
h2s,1700000338.500,66.27789
h2s,1700000339.000,59.82682
h2s,1700000339.500,57.22564
h2s,1700000340.000,55.88996
h2s,1700000340.500,52.99493
h2s,1700000341.000,45.90440
h2s,1700000341.500,43.80118
h2s,1700000342.000,42.01862
h2s,1700000342.500,41.59307
h2s,1700000343.000,35.08254
h2s,1700000343.500,34.13932
h2s,1700000344.000,31.62377
h2s,1700000344.500,28.04057
h2s,1700000345.000,26.62005
h2s,1700000345.500,21.07854
h2s,1700000346.000,20.28306
h2s,1700000346.500,22.43161
h2s,1700000347.000,20.68146
h2s,1700000347.500,17.60517
h2s,1700000348.000,16.50242
h2s,1700000348.500,9.16266
h2s,1700000349.000,9.55541
h2s,1700000349.500,9.58871
h2s,1700000350.000,13.91397
h2s,1700000350.500,7.43549
h2s,1700000351.000,8.63096
h2s,1700000351.500,7.07114
h2s,1700000352.000,6.28687
h2s,1700000352.500,4.86806
h2s,1700000353.000,1.92927
h2s,1700000353.500,-1.59141
h2s,1700000354.000,5.91746
h2s,1700000354.500,1.71911
h2s,1700000355.000,-1.13379
h2s,1700000355.500,3.16955
h2s,1700000356.000,2.86448
h2s,1700000356.500,3.33161
h2s,1700000357.000,3.82775
h2s,1700000357.500,-0.41329
h2s,1700000358.000,-0.47245
h2s,1700000358.500,0.51435
h2s,1700000359.000,2.68795
h2s,1700000359.500,-3.25150
h2s,1700000360.000,1.37400
h2s,1700000360.500,3.10488
h2s,1700000361.000,3.16720
h2s,1700000361.500,2.97256
h2s,1700000362.000,3.88018
h2s,1700000362.500,-3.50855
h2s,1700000363.000,5.48182
h2s,1700000363.500,3.22720
h2s,1700000364.000,5.59512
h2s,1700000364.500,0.98987
h2s,1700000365.000,0.30517
h2s,1700000365.500,7.92662
h2s,1700000366.000,3.11667
h2s,1700000366.500,5.04664
h2s,1700000367.000,7.51304
h2s,1700000367.500,8.89370
h2s,1700000368.000,10.50373
h2s,1700000368.500,9.91131
h2s,1700000369.000,8.60194
h2s,1700000369.500,13.50808
h2s,1700000370.000,15.07229
h2s,1700000370.500,11.68736
h2s,1700000371.000,20.01247
h2s,1700000371.500,14.23522
h2s,1700000372.000,23.49768
h2s,1700000372.500,22.57319
h2s,1700000373.000,27.86505
h2s,1700000373.500,30.29298
h2s,1700000374.000,32.22740
h2s,1700000374.500,36.44643
h2s,1700000375.000,38.82889
h2s,1700000375.500,44.10161
h2s,1700000376.000,50.92794
h2s,1700000376.500,47.96553
h2s,1700000377.000,48.56199
h2s,1700000377.500,58.58713
h2s,1700000378.000,63.10817
h2s,1700000378.500,68.14132
h2s,1700000379.000,72.00856
h2s,1700000379.500,80.69559
h2s,1700000380.000,81.37858
h2s,1700000380.500,90.30893
h2s,1700000381.000,95.99809
h2s,1700000381.500,100.68529
h2s,1700000382.000,106.34314
h2s,1700000382.500,112.53536
h2s,1700000383.000,115.92823
h2s,1700000383.500,120.19253
h2s,1700000384.000,126.76612
h2s,1700000384.500,131.70850
h2s,1700000385.000,136.77146
h2s,1700000385.500,135.78573
h2s,1700000386.000,142.76133
h2s,1700000386.500,144.58205
h2s,1700000387.000,151.05483
h2s,1700000387.500,154.21393
h2s,1700000388.000,154.62154
h2s,1700000388.500,155.68205
h2s,1700000389.000,159.84692
h2s,1700000389.500,159.42685
h2s,1700000390.000,163.10451
h2s,1700000390.500,163.86792
h2s,1700000391.000,161.90482
h2s,1700000391.500,159.46426
h2s,1700000392.000,161.26745
h2s,1700000392.500,156.24887
h2s,1700000393.000,152.51008
h2s,1700000393.500,149.38879
h2s,1700000394.000,146.19710
h2s,1700000394.500,144.07661
h2s,1700000395.000,141.15124
h2s,1700000395.500,133.21331
h2s,1700000396.000,130.68154
h2s,1700000396.500,127.29403
h2s,1700000397.000,123.23470
h2s,1700000397.500,116.80253
h2s,1700000398.000,112.11587
h2s,1700000398.500,103.82523
h2s,1700000399.000,99.09372
h2s,1700000399.500,95.38562
h2s,1700000400.000,91.12744
h2s,1700000400.500,85.20889
h2s,1700000401.000,77.75941
h2s,1700000401.500,73.79300
h2s,1700000402.000,72.22202
h2s,1700000402.500,65.36440
h2s,1700000403.000,59.19303
h2s,1700000403.500,52.88981
h2s,1700000404.000,49.13295
h2s,1700000404.500,-33.60323
h2s,1700000405.000,42.97323
h2s,1700000405.500,39.80962
h2s,1700000406.000,35.93416
h2s,1700000406.500,31.12082
h2s,1700000407.000,27.76436
h2s,1700000407.500,30.02491
h2s,1700000408.000,22.17671
h2s,1700000408.500,18.27311
h2s,1700000409.000,15.34671
h2s,1700000409.500,15.87773
h2s,1700000410.000,16.60716
h2s,1700000410.500,11.89169
h2s,1700000411.000,14.47809
h2s,1700000411.500,10.14056
h2s,1700000412.000,11.14830
h2s,1700000412.500,6.31928
h2s,1700000413.000,5.37692
h2s,1700000413.500,6.18105
h2s,1700000414.000,6.20287
h2s,1700000414.500,4.21051
h2s,1700000415.000,4.56699
h2s,1700000415.500,4.64728
h2s,1700000416.000,0.18433
h2s,1700000416.500,1.95800
h2s,1700000417.000,1.26982
h2s,1700000417.500,1.08088
h2s,1700000418.000,2.58980
h2s,1700000418.500,0.55729
h2s,1700000419.000,-2.62117
h2s,1700000419.500,0.76523
h2s,1700000420.000,-1.01778
h2s,1700000420.500,2.22262
h2s,1700000421.000,2.98047
h2s,1700000421.500,-2.81845
h2s,1700000422.000,0.17097
h2s,1700000422.500,2.64387
h2s,1700000423.000,-0.62983
h2s,1700000423.500,4.04105
h2s,1700000424.000,4.90335
h2s,1700000424.500,2.85529
h2s,1700000425.000,2.05633
h2s,1700000425.500,-0.53710
h2s,1700000426.000,6.25198
h2s,1700000426.500,9.23394
h2s,1700000427.000,9.49521
h2s,1700000427.500,6.26412
h2s,1700000428.000,5.29889
h2s,1700000428.500,10.07432
h2s,1700000429.000,89.14918
h2s,1700000429.500,11.45594
h2s,1700000430.000,12.29821
h2s,1700000430.500,13.17074
h2s,1700000431.000,16.43470
h2s,1700000431.500,18.00389
