# channel,epoch_s,ph
ph,1700000494.000,7.92427
ph,1700000495.000,7.91857
ph,1700000496.000,7.89367
ph,1700000497.000,7.94794
ph,1700000498.000,7.89975
ph,1700000499.000,7.90127
ph,1700000500.000,7.89575
ph,1700000501.000,7.87337
ph,1700000502.000,7.92167
ph,1700000503.000,7.88417
ph,1700000504.000,7.91389
ph,1700000505.000,7.91861
ph,1700000506.000,7.90746
ph,1700000507.000,7.88158
ph,1700000508.000,7.88866
ph,1700000509.000,7.84205
ph,1700000510.000,7.89341
ph,1700000511.000,7.91198
ph,1700000512.000,7.89139
ph,1700000513.000,7.88458
ph,1700000514.000,7.89068
ph,1700000515.000,7.92121
ph,1700000516.000,7.89609
ph,1700000517.000,7.93462
ph,1700000518.000,7.88632
ph,1700000519.000,7.90234
ph,1700000520.000,7.88957
ph,1700000521.000,7.93996
ph,1700000522.000,7.90228
ph,1700000523.000,7.94144
ph,1700000524.000,7.89066
ph,1700000525.000,7.92977
ph,1700000526.000,7.90171
ph,1700000527.000,7.91620
ph,1700000528.000,6.37517
ph,1700000529.000,7.90662
ph,1700000530.000,7.87834
ph,1700000531.000,7.90492
ph,1700000532.000,7.86946
ph,1700000533.000,7.89799
ph,1700000534.000,7.92181
ph,1700000535.000,7.91087
ph,1700000536.000,7.87526
ph,1700000537.000,7.86199
ph,1700000538.000,7.90991
ph,1700000539.000,7.93160
ph,1700000540.000,7.88070
ph,1700000541.000,7.94192
ph,1700000542.000,7.89983
ph,1700000543.000,7.86077
ph,1700000544.000,7.86870
ph,1700000545.000,7.91529
ph,1700000546.000,7.90243
ph,1700000547.000,7.92942
ph,1700000548.000,7.87572
ph,1700000549.000,7.90193
ph,1700000550.000,7.89954
ph,1700000551.000,7.89633
ph,1700000552.000,6.39127
ph,1700000553.000,7.89131
ph,1700000554.000,7.90162
ph,1700000555.000,7.90362
ph,1700000556.000,7.90193
ph,1700000557.000,7.92017
ph,1700000558.000,7.87102
ph,1700000559.000,7.85762
ph,1700000560.000,7.91280
ph,1700000561.000,7.87199
ph,1700000562.000,7.88145
ph,1700000563.000,7.87477
ph,1700000564.000,7.87211
ph,1700000565.000,7.85321
ph,1700000566.000,7.86844
ph,1700000567.000,7.89017
ph,1700000568.000,7.87442
ph,1700000569.000,7.88192
ph,1700000570.000,7.85933
ph,1700000571.000,7.88491
ph,1700000572.000,7.85453
ph,1700000573.000,7.82068
ph,1700000574.000,7.86773
ph,1700000575.000,7.87573
ph,1700000576.000,7.84866
ph,1700000577.000,7.88379
ph,1700000578.000,7.84327
ph,1700000579.000,7.87466
ph,1700000580.000,7.89756
ph,1700000581.000,7.86523
ph,1700000582.000,7.86214
ph,1700000583.000,7.86700
ph,1700000584.000,7.90432
ph,1700000585.000,9.38256
ph,1700000586.000,7.92017
ph,1700000587.000,7.88562
ph,1700000588.000,7.86961
ph,1700000589.000,7.87351
ph,1700000590.000,7.88872
ph,1700000591.000,7.84875
ph,1700000592.000,7.88193
ph,1700000593.000,7.88400
ph,1700000594.000,7.89924
ph,1700000595.000,7.93446
ph,1700000596.000,7.89769
ph,1700000597.000,7.85893
ph,1700000598.000,7.87974
ph,1700000599.000,7.90377
