# channel,epoch_s,turbidity
turbidity,1700000564.000,0.76827
turbidity,1700000565.000,0.34095
turbidity,1700000566.000,-1.20397
turbidity,1700000567.000,-0.93593
turbidity,1700000568.000,0.27561
turbidity,1700000569.000,-0.78896
turbidity,1700000570.000,0.36618
turbidity,1700000571.000,1.45632
turbidity,1700000572.000,0.18980
turbidity,1700000573.000,0.87875
turbidity,1700000574.000,-0.25526
turbidity,1700000575.000,1.12702
turbidity,1700000576.000,1.34355
turbidity,1700000577.000,-0.58704
turbidity,1700000578.000,0.07773
turbidity,1700000579.000,-0.45039
turbidity,1700000580.000,1.30705
turbidity,1700000581.000,0.93745
turbidity,1700000582.000,0.69474
turbidity,1700000583.000,0.58355
turbidity,1700000584.000,0.99948
turbidity,1700000585.000,0.98281
turbidity,1700000586.000,0.10723
turbidity,1700000587.000,-0.06943
turbidity,1700000588.000,0.47186
turbidity,1700000589.000,0.30783
turbidity,1700000590.000,2.52750
turbidity,1700000591.000,0.05507
turbidity,1700000592.000,0.70387
turbidity,1700000593.000,0.85851
turbidity,1700000594.000,1.77457
turbidity,1700000595.000,-25.45278
turbidity,1700000596.000,1.68510
turbidity,1700000597.000,0.18748
turbidity,1700000598.000,2.82775
turbidity,1700000599.000,0.68231
