# channel,epoch_s,temperature
temperature,1700000017.250,2.23552
temperature,1700000017.500,2.19652
temperature,1700000017.750,2.21887
temperature,1700000018.000,2.25635
temperature,1700000018.250,2.21954
temperature,1700000018.500,2.24523
temperature,1700000018.750,2.28063
temperature,1700000019.000,2.27372
temperature,1700000019.250,2.30544
temperature,1700000019.500,2.36595
temperature,1700000019.750,2.29053
temperature,1700000020.000,2.23826
temperature,1700000020.250,2.29294
temperature,1700000020.500,2.29689
temperature,1700000020.750,2.31029
temperature,1700000021.000,2.36059
temperature,1700000021.250,2.20791
temperature,1700000021.500,2.37412
temperature,1700000021.750,2.39730
temperature,1700000022.000,2.33955
temperature,1700000022.250,2.34713
temperature,1700000022.500,2.31182
temperature,1700000022.750,2.33058
temperature,1700000023.000,2.37150
temperature,1700000023.250,2.37459
temperature,1700000023.500,2.38520
temperature,1700000023.750,2.38670
temperature,1700000024.000,2.40642
temperature,1700000024.250,2.40688
temperature,1700000024.500,2.32228
temperature,1700000024.750,2.42096
temperature,1700000025.000,2.47800
temperature,1700000025.250,2.38933
temperature,1700000025.500,2.47109
temperature,1700000025.750,2.35554
temperature,1700000026.000,2.40505
temperature,1700000026.250,2.37942
temperature,1700000026.500,2.48520
temperature,1700000026.750,2.50282
temperature,1700000027.000,2.42017
temperature,1700000027.250,2.48781
temperature,1700000027.500,2.51567
temperature,1700000027.750,2.43514
temperature,1700000028.000,2.44668
temperature,1700000028.250,2.48001
temperature,1700000028.500,2.40408
temperature,1700000028.750,2.45431
temperature,1700000029.000,2.55827
temperature,1700000029.250,2.42817
temperature,1700000029.500,2.49761
temperature,1700000029.750,2.48257
temperature,1700000030.000,2.44935
temperature,1700000030.250,2.46948
temperature,1700000030.500,2.54659
temperature,1700000030.750,2.48690
temperature,1700000031.000,2.49466
temperature,1700000031.250,2.53887
temperature,1700000031.500,2.44371
temperature,1700000031.750,2.40488
temperature,1700000032.000,2.54440
temperature,1700000032.250,2.46127
temperature,1700000032.500,-0.50271
temperature,1700000032.750,2.41238
temperature,1700000033.000,2.46753
temperature,1700000033.250,2.39060
temperature,1700000033.500,2.44570
temperature,1700000033.750,2.40692
temperature,1700000034.000,2.39200
temperature,1700000034.250,2.41704
temperature,1700000034.500,2.31361
temperature,1700000034.750,2.36614
temperature,1700000035.000,2.45890
temperature,1700000035.250,2.43260
temperature,1700000035.500,2.35676
temperature,1700000035.750,2.43292
temperature,1700000036.000,2.35651
temperature,1700000036.250,2.43126
temperature,1700000036.500,2.38396
temperature,1700000036.750,2.36794
temperature,1700000037.000,2.37397
temperature,1700000037.250,2.50071
temperature,1700000037.500,2.32891
temperature,1700000037.750,2.37221
temperature,1700000038.000,2.39390
temperature,1700000038.250,2.30059
temperature,1700000038.500,2.26283
temperature,1700000038.750,2.30628
temperature,1700000039.000,2.36807
temperature,1700000039.250,2.30674
temperature,1700000039.500,2.30602
temperature,1700000039.750,2.35685
temperature,1700000040.000,2.26474
temperature,1700000040.250,2.29439
temperature,1700000040.500,2.21694
temperature,1700000040.750,2.30251
temperature,1700000041.000,2.29185
temperature,1700000041.250,2.31410
temperature,1700000041.500,2.21108
temperature,1700000041.750,2.25284
temperature,1700000042.000,2.19268
temperature,1700000042.250,2.23856
temperature,1700000042.500,2.31930
temperature,1700000042.750,2.22362
temperature,1700000043.000,2.16592
temperature,1700000043.250,2.19488
temperature,1700000043.500,2.14310
temperature,1700000043.750,2.15375
temperature,1700000044.000,2.24709
temperature,1700000044.250,2.13636
temperature,1700000044.500,2.21955
temperature,1700000044.750,2.20061
temperature,1700000045.000,2.16825
temperature,1700000045.250,2.20184
temperature,1700000045.500,2.13936
temperature,1700000045.750,2.22420
temperature,1700000046.000,2.14327
temperature,1700000046.250,2.15504
temperature,1700000046.500,2.14539
temperature,1700000046.750,2.20156
temperature,1700000047.000,2.19087
temperature,1700000047.250,2.02925
temperature,1700000047.500,2.16987
temperature,1700000047.750,2.06686
temperature,1700000048.000,2.13409
temperature,1700000048.250,2.14293
temperature,1700000048.500,2.12804
temperature,1700000048.750,2.16811
temperature,1700000049.000,2.17660
temperature,1700000049.250,2.09957
temperature,1700000049.500,2.09550
temperature,1700000049.750,2.13205
temperature,1700000050.000,2.05463
temperature,1700000050.250,2.10602
temperature,1700000050.500,2.19543
temperature,1700000050.750,2.05096
temperature,1700000051.000,2.10761
temperature,1700000051.250,2.09343
temperature,1700000051.500,2.22182
temperature,1700000051.750,2.09325
temperature,1700000052.000,2.09482
temperature,1700000052.250,2.06601
temperature,1700000052.500,2.11683
temperature,1700000052.750,2.12876
temperature,1700000053.000,2.06990
temperature,1700000053.250,2.16264
temperature,1700000053.500,2.12583
temperature,1700000053.750,-0.84601
temperature,1700000054.000,2.09417
temperature,1700000054.250,2.12197
temperature,1700000054.500,2.09843
temperature,1700000054.750,2.18130
temperature,1700000055.000,2.11360
temperature,1700000055.250,2.10763
temperature,1700000055.500,2.08374
temperature,1700000055.750,2.08034
temperature,1700000056.000,2.11755
temperature,1700000056.250,2.14620
temperature,1700000056.500,2.07058
temperature,1700000056.750,2.11075
temperature,1700000057.000,5.11327
temperature,1700000057.250,2.12165
temperature,1700000057.500,2.01805
temperature,1700000057.750,2.05691
temperature,1700000058.000,2.03459
temperature,1700000058.250,2.10428
temperature,1700000058.500,2.05737
temperature,1700000058.750,2.07740
temperature,1700000059.000,2.04230
temperature,1700000059.250,2.08168
temperature,1700000059.500,2.04548
temperature,1700000059.750,2.13943
temperature,1700000060.000,2.12536
temperature,1700000060.250,2.10904
temperature,1700000060.500,2.08658
temperature,1700000060.750,1.99995
temperature,1700000061.000,2.07909
temperature,1700000061.250,2.06411
temperature,1700000061.500,2.11475
temperature,1700000061.750,2.13359
temperature,1700000062.000,2.11907
temperature,1700000062.250,2.16624
temperature,1700000062.500,2.07495
temperature,1700000062.750,2.07317
temperature,1700000063.000,2.15586
temperature,1700000063.250,2.11262
temperature,1700000063.500,2.09232
temperature,1700000063.750,2.19739
temperature,1700000064.000,2.13437
temperature,1700000064.250,2.09641
temperature,1700000064.500,2.07213
temperature,1700000064.750,2.17327
temperature,1700000065.000,2.11784
temperature,1700000065.250,2.10931
temperature,1700000065.500,2.14253
temperature,1700000065.750,2.15340
temperature,1700000066.000,2.13760
temperature,1700000066.250,2.15508
temperature,1700000066.500,2.13426
temperature,1700000066.750,2.14030
temperature,1700000067.000,2.07690
temperature,1700000067.250,2.20497
temperature,1700000067.500,2.05381
temperature,1700000067.750,2.13206
temperature,1700000068.000,2.05091
temperature,1700000068.250,2.11407
temperature,1700000068.500,2.09171
temperature,1700000068.750,2.12844
temperature,1700000069.000,2.14019
temperature,1700000069.250,2.07681
temperature,1700000069.500,2.12476
temperature,1700000069.750,2.19760
temperature,1700000070.000,2.06408
temperature,1700000070.250,2.08886
temperature,1700000070.500,2.17656
temperature,1700000070.750,2.13945
temperature,1700000071.000,2.14528
temperature,1700000071.250,2.19109
temperature,1700000071.500,2.10262
temperature,1700000071.750,2.11881
temperature,1700000072.000,2.11521
temperature,1700000072.250,2.13261
temperature,1700000072.500,2.21978
temperature,1700000072.750,2.07064
temperature,1700000073.000,2.09900
temperature,1700000073.250,2.09356
temperature,1700000073.500,2.23517
temperature,1700000073.750,2.13773
temperature,1700000074.000,2.15561
temperature,1700000074.250,2.09481
temperature,1700000074.500,2.16615
temperature,1700000074.750,2.22645
temperature,1700000075.000,2.19974
temperature,1700000075.250,2.18579
temperature,1700000075.500,2.11716
temperature,1700000075.750,2.18334
temperature,1700000076.000,2.21153
temperature,1700000076.250,2.15916
temperature,1700000076.500,2.24618
temperature,1700000076.750,2.26249
temperature,1700000077.000,2.19671
temperature,1700000077.250,2.26445
temperature,1700000077.500,2.22779
temperature,1700000077.750,2.29586
temperature,1700000078.000,2.34552
temperature,1700000078.250,2.19454
temperature,1700000078.500,2.29319
temperature,1700000078.750,2.32555
temperature,1700000079.000,2.21742
temperature,1700000079.250,2.24292
temperature,1700000079.500,2.24815
temperature,1700000079.750,2.27667
temperature,1700000080.000,2.27139
temperature,1700000080.250,2.28523
temperature,1700000080.500,2.34302
temperature,1700000080.750,2.21233
temperature,1700000081.000,2.26444
temperature,1700000081.250,2.35266
temperature,1700000081.500,2.35284
temperature,1700000081.750,2.27829
temperature,1700000082.000,2.36521
temperature,1700000082.250,2.40955
temperature,1700000082.500,2.34669
temperature,1700000082.750,2.30464
temperature,1700000083.000,2.40462
temperature,1700000083.250,2.45279
temperature,1700000083.500,2.32802
temperature,1700000083.750,2.37989
temperature,1700000084.000,2.43794
temperature,1700000084.250,2.39459
temperature,1700000084.500,2.30673
temperature,1700000084.750,2.42140
temperature,1700000085.000,2.35530
temperature,1700000085.250,2.34555
temperature,1700000085.500,2.32739
temperature,1700000085.750,2.47782
temperature,1700000086.000,2.38091
temperature,1700000086.250,2.44346
temperature,1700000086.500,2.45970
temperature,1700000086.750,2.44259
temperature,1700000087.000,2.45286
temperature,1700000087.250,2.46040
temperature,1700000087.500,2.45133
temperature,1700000087.750,2.40927
temperature,1700000088.000,2.40741
temperature,1700000088.250,2.44699
temperature,1700000088.500,2.44803
temperature,1700000088.750,2.47765
temperature,1700000089.000,2.51284
temperature,1700000089.250,2.47627
temperature,1700000089.500,2.41957
temperature,1700000089.750,2.35182
temperature,1700000090.000,2.42293
temperature,1700000090.250,2.39437
temperature,1700000090.500,2.42502
temperature,1700000090.750,2.47331
temperature,1700000091.000,2.46481
temperature,1700000091.250,2.55261
temperature,1700000091.500,2.48270
temperature,1700000091.750,2.55257
temperature,1700000092.000,2.49117
temperature,1700000092.250,2.50774
temperature,1700000092.500,2.43329
temperature,1700000092.750,2.39503
temperature,1700000093.000,2.42358
temperature,1700000093.250,2.44247
temperature,1700000093.500,2.40845
temperature,1700000093.750,2.38637
temperature,1700000094.000,2.45361
temperature,1700000094.250,2.37862
temperature,1700000094.500,2.34814
temperature,1700000094.750,2.36443
temperature,1700000095.000,2.40436
temperature,1700000095.250,2.36188
temperature,1700000095.500,2.39521
temperature,1700000095.750,2.43166
temperature,1700000096.000,2.42524
temperature,1700000096.250,2.35821
temperature,1700000096.500,2.32066
temperature,1700000096.750,2.35157
temperature,1700000097.000,2.40751
temperature,1700000097.250,2.41347
temperature,1700000097.500,2.38085
temperature,1700000097.750,2.41740
temperature,1700000098.000,2.43784
temperature,1700000098.250,2.32122
temperature,1700000098.500,2.41366
temperature,1700000098.750,2.32023
temperature,1700000099.000,2.37815
temperature,1700000099.250,2.35647
temperature,1700000099.500,2.21606
temperature,1700000099.750,2.26049
temperature,1700000100.000,2.24163
temperature,1700000100.250,2.20752
temperature,1700000100.500,2.33454
temperature,1700000100.750,2.38801
temperature,1700000101.000,2.26573
temperature,1700000101.250,2.31541
temperature,1700000101.500,2.34110
temperature,1700000101.750,2.27151
temperature,1700000102.000,2.25414
temperature,1700000102.250,2.23751
temperature,1700000102.500,2.27115
temperature,1700000102.750,2.28257
temperature,1700000103.000,2.25660
temperature,1700000103.250,2.24965
temperature,1700000103.500,2.22059
temperature,1700000103.750,2.13849
temperature,1700000104.000,2.25813
temperature,1700000104.250,2.14423
temperature,1700000104.500,2.23476
temperature,1700000104.750,2.23704
temperature,1700000105.000,2.13781
temperature,1700000105.250,2.16014
temperature,1700000105.500,-0.70756
temperature,1700000105.750,2.17835
temperature,1700000106.000,2.11739
temperature,1700000106.250,2.21465
temperature,1700000106.500,2.13231
temperature,1700000106.750,2.07138
temperature,1700000107.000,2.18998
temperature,1700000107.250,2.11487
temperature,1700000107.500,2.17359
temperature,1700000107.750,2.11385
temperature,1700000108.000,2.18691
temperature,1700000108.250,2.15792
temperature,1700000108.500,2.01659
temperature,1700000108.750,2.16257
temperature,1700000109.000,2.12651
temperature,1700000109.250,2.20947
temperature,1700000109.500,2.15614
temperature,1700000109.750,2.17204
temperature,1700000110.000,2.09666
temperature,1700000110.250,2.09073
temperature,1700000110.500,2.12709
temperature,1700000110.750,2.10858
temperature,1700000111.000,2.19184
temperature,1700000111.250,2.11568
temperature,1700000111.500,2.06060
temperature,1700000111.750,2.07904
temperature,1700000112.000,2.16732
temperature,1700000112.250,2.10943
temperature,1700000112.500,2.10556
temperature,1700000112.750,2.16847
temperature,1700000113.000,2.06865
temperature,1700000113.250,2.00163
temperature,1700000113.500,2.06980
temperature,1700000113.750,2.12366
temperature,1700000114.000,2.09824
temperature,1700000114.250,2.03191
temperature,1700000114.500,5.16001
temperature,1700000114.750,2.11669
temperature,1700000115.000,2.12733
temperature,1700000115.250,2.12826
temperature,1700000115.500,2.04179
temperature,1700000115.750,2.12134
temperature,1700000116.000,2.15109
temperature,1700000116.250,2.16228
temperature,1700000116.500,2.14090
temperature,1700000116.750,2.13011
temperature,1700000117.000,2.01722
temperature,1700000117.250,2.10301
temperature,1700000117.500,2.05561
temperature,1700000117.750,2.16726
temperature,1700000118.000,2.15941
temperature,1700000118.250,2.05511
temperature,1700000118.500,2.10011
temperature,1700000118.750,2.11463
temperature,1700000119.000,2.14705
temperature,1700000119.250,2.01805
temperature,1700000119.500,1.99119
temperature,1700000119.750,2.10343
temperature,1700000120.000,1.97679
temperature,1700000120.250,2.11160
temperature,1700000120.500,2.13363
temperature,1700000120.750,2.16619
temperature,1700000121.000,2.07365
temperature,1700000121.250,2.11327
temperature,1700000121.500,2.13825
temperature,1700000121.750,2.04739
temperature,1700000122.000,2.15248
temperature,1700000122.250,2.12100
temperature,1700000122.500,2.07764
temperature,1700000122.750,2.11564
temperature,1700000123.000,2.10232
temperature,1700000123.250,2.14906
temperature,1700000123.500,2.09285
temperature,1700000123.750,2.12310
temperature,1700000124.000,2.08163
temperature,1700000124.250,2.06679
temperature,1700000124.500,2.12332
temperature,1700000124.750,2.07104
temperature,1700000125.000,2.15711
temperature,1700000125.250,2.14797
temperature,1700000125.500,2.08147
temperature,1700000125.750,2.13185
temperature,1700000126.000,2.08421
temperature,1700000126.250,2.04409
temperature,1700000126.500,2.09616
temperature,1700000126.750,2.12531
temperature,1700000127.000,2.15580
temperature,1700000127.250,2.13922
temperature,1700000127.500,2.17925
temperature,1700000127.750,2.08703
temperature,1700000128.000,2.11960
temperature,1700000128.250,2.22311
temperature,1700000128.500,2.04691
temperature,1700000128.750,2.12357
temperature,1700000129.000,2.09541
temperature,1700000129.250,2.14217
temperature,1700000129.500,2.13330
temperature,1700000129.750,2.18835
temperature,1700000130.000,2.17436
temperature,1700000130.250,2.09979
temperature,1700000130.500,2.13929
temperature,1700000130.750,2.17245
temperature,1700000131.000,2.21333
temperature,1700000131.250,2.30205
temperature,1700000131.500,2.21973
temperature,1700000131.750,2.13828
temperature,1700000132.000,2.18868
temperature,1700000132.250,2.20702
temperature,1700000132.500,2.17674
temperature,1700000132.750,2.23110
temperature,1700000133.000,2.09903
temperature,1700000133.250,2.24539
temperature,1700000133.500,2.19918
temperature,1700000133.750,2.22291
temperature,1700000134.000,2.30719
temperature,1700000134.250,2.17645
temperature,1700000134.500,2.25889
temperature,1700000134.750,2.29079
temperature,1700000135.000,2.26555
temperature,1700000135.250,2.18235
temperature,1700000135.500,2.33668
temperature,1700000135.750,2.26478
temperature,1700000136.000,2.25522
temperature,1700000136.250,2.27239
temperature,1700000136.500,2.27517
temperature,1700000136.750,2.24116
temperature,1700000137.000,2.31535
temperature,1700000137.250,2.28369
temperature,1700000137.500,2.35355
temperature,1700000137.750,2.35234
temperature,1700000138.000,2.41419
temperature,1700000138.250,2.32874
temperature,1700000138.500,2.30553
temperature,1700000138.750,2.27853
temperature,1700000139.000,2.46795
temperature,1700000139.250,2.39757
temperature,1700000139.500,2.33594
temperature,1700000139.750,2.46121
temperature,1700000140.000,2.45025
temperature,1700000140.250,2.32063
temperature,1700000140.500,-0.64387
temperature,1700000140.750,2.39265
temperature,1700000141.000,2.35106
temperature,1700000141.250,2.40485
temperature,1700000141.500,2.45020
temperature,1700000141.750,2.35067
temperature,1700000142.000,2.43850
temperature,1700000142.250,2.48656
temperature,1700000142.500,2.45221
temperature,1700000142.750,2.43223
temperature,1700000143.000,2.40617
temperature,1700000143.250,2.48441
temperature,1700000143.500,2.38705
temperature,1700000143.750,5.46078
temperature,1700000144.000,2.45238
temperature,1700000144.250,2.50956
temperature,1700000144.500,2.42602
temperature,1700000144.750,2.43184
temperature,1700000145.000,2.39590
temperature,1700000145.250,2.48081
temperature,1700000145.500,2.43840
temperature,1700000145.750,2.41682
temperature,1700000146.000,2.42160
temperature,1700000146.250,2.48650
temperature,1700000146.500,2.40389
temperature,1700000146.750,2.40741
temperature,1700000147.000,2.50171
temperature,1700000147.250,2.44705
temperature,1700000147.500,2.50129
temperature,1700000147.750,2.43341
temperature,1700000148.000,2.44890
temperature,1700000148.250,2.45406
temperature,1700000148.500,2.51262
temperature,1700000148.750,2.50529
temperature,1700000149.000,2.49414
temperature,1700000149.250,2.40127
temperature,1700000149.500,2.37935
temperature,1700000149.750,2.46248
temperature,1700000150.000,2.48880
temperature,1700000150.250,2.47342
temperature,1700000150.500,2.41105
temperature,1700000150.750,2.44171
temperature,1700000151.000,2.43734
temperature,1700000151.250,2.40210
temperature,1700000151.500,2.39870
temperature,1700000151.750,2.38828
temperature,1700000152.000,2.33813
temperature,1700000152.250,2.33728
temperature,1700000152.500,2.33045
temperature,1700000152.750,2.27942
temperature,1700000153.000,2.36031
temperature,1700000153.250,2.34485
temperature,1700000153.500,2.37864
temperature,1700000153.750,2.39721
temperature,1700000154.000,2.39398
temperature,1700000154.250,2.39228
temperature,1700000154.500,2.27708
temperature,1700000154.750,2.23692
temperature,1700000155.000,2.34866
temperature,1700000155.250,2.36486
temperature,1700000155.500,2.36722
temperature,1700000155.750,2.30739
temperature,1700000156.000,2.17708
temperature,1700000156.250,2.28904
temperature,1700000156.500,2.29244
temperature,1700000156.750,2.32127
temperature,1700000157.000,2.32423
temperature,1700000157.250,2.29241
temperature,1700000157.500,2.21184
temperature,1700000157.750,2.18414
temperature,1700000158.000,2.25679
temperature,1700000158.250,2.18509
temperature,1700000158.500,2.29321
temperature,1700000158.750,2.12908
temperature,1700000159.000,2.23765
temperature,1700000159.250,2.22040
temperature,1700000159.500,2.18934
temperature,1700000159.750,2.14882
temperature,1700000160.000,2.08751
temperature,1700000160.250,2.15969
temperature,1700000160.500,2.15637
temperature,1700000160.750,2.23359
temperature,1700000161.000,2.13494
temperature,1700000161.250,2.19294
temperature,1700000161.500,2.10205
temperature,1700000161.750,2.18716
temperature,1700000162.000,2.04789
temperature,1700000162.250,2.26130
temperature,1700000162.500,2.14637
temperature,1700000162.750,2.01072
temperature,1700000163.000,2.11170
temperature,1700000163.250,2.10107
temperature,1700000163.500,2.10946
temperature,1700000163.750,2.12152
temperature,1700000164.000,2.10425
temperature,1700000164.250,2.09430
temperature,1700000164.500,2.07503
temperature,1700000164.750,2.17201
temperature,1700000165.000,2.18903
temperature,1700000165.250,2.11440
temperature,1700000165.500,2.12450
temperature,1700000165.750,2.06742
temperature,1700000166.000,2.12572
temperature,1700000166.250,2.13219
temperature,1700000166.500,2.10832
temperature,1700000166.750,2.13778
temperature,1700000167.000,2.13217
temperature,1700000167.250,2.06286
temperature,1700000167.500,2.17412
temperature,1700000167.750,2.10306
temperature,1700000168.000,2.19625
temperature,1700000168.250,2.13258
temperature,1700000168.500,2.20926
temperature,1700000168.750,2.16868
temperature,1700000169.000,2.12053
temperature,1700000169.250,2.07232
temperature,1700000169.500,2.07275
temperature,1700000169.750,2.13388
temperature,1700000170.000,2.11382
temperature,1700000170.250,2.07668
temperature,1700000170.500,2.14730
temperature,1700000170.750,2.10713
temperature,1700000171.000,2.14672
temperature,1700000171.250,2.05561
temperature,1700000171.500,2.15400
temperature,1700000171.750,2.12874
temperature,1700000172.000,2.16326
temperature,1700000172.250,2.15196
temperature,1700000172.500,2.09858
temperature,1700000172.750,2.09432
temperature,1700000173.000,2.19151
temperature,1700000173.250,2.08762
temperature,1700000173.500,2.13938
temperature,1700000173.750,2.08272
temperature,1700000174.000,2.00853
temperature,1700000174.250,2.04011
temperature,1700000174.500,2.12164
temperature,1700000174.750,2.13628
temperature,1700000175.000,2.12157
temperature,1700000175.250,2.15830
temperature,1700000175.500,2.12047
temperature,1700000175.750,2.06206
temperature,1700000176.000,2.13046
temperature,1700000176.250,2.10915
temperature,1700000176.500,2.07183
temperature,1700000176.750,2.12418
temperature,1700000177.000,2.10446
temperature,1700000177.250,2.07020
temperature,1700000177.500,2.09151
temperature,1700000177.750,2.17104
temperature,1700000178.000,2.16937
temperature,1700000178.250,2.10970
temperature,1700000178.500,2.10313
temperature,1700000178.750,2.02858
temperature,1700000179.000,2.18618
temperature,1700000179.250,2.15201
temperature,1700000179.500,2.13777
temperature,1700000179.750,1.98641
temperature,1700000180.000,2.10218
temperature,1700000180.250,2.09379
temperature,1700000180.500,2.13430
temperature,1700000180.750,2.07762
temperature,1700000181.000,2.08859
temperature,1700000181.250,2.13116
temperature,1700000181.500,2.06153
temperature,1700000181.750,2.07152
temperature,1700000182.000,2.10990
temperature,1700000182.250,2.16718
temperature,1700000182.500,2.14069
temperature,1700000182.750,2.15406
temperature,1700000183.000,2.10347
temperature,1700000183.250,2.17508
temperature,1700000183.500,2.01329
temperature,1700000183.750,2.20148
temperature,1700000184.000,2.20798
temperature,1700000184.250,2.12324
temperature,1700000184.500,2.14205
temperature,1700000184.750,2.09857
temperature,1700000185.000,2.09001
temperature,1700000185.250,2.06998
temperature,1700000185.500,2.09810
temperature,1700000185.750,2.12838
temperature,1700000186.000,2.12161
temperature,1700000186.250,2.19998
temperature,1700000186.500,2.10570
temperature,1700000186.750,2.02628
temperature,1700000187.000,2.18298
temperature,1700000187.250,2.03976
temperature,1700000187.500,2.07287
temperature,1700000187.750,2.11447
temperature,1700000188.000,2.12179
temperature,1700000188.250,2.02871
temperature,1700000188.500,2.06370
temperature,1700000188.750,2.02704
temperature,1700000189.000,2.13221
temperature,1700000189.250,2.16035
temperature,1700000189.500,2.04014
temperature,1700000189.750,2.15107
temperature,1700000190.000,2.14788
temperature,1700000190.250,2.06845
temperature,1700000190.500,2.00233
temperature,1700000190.750,2.04796
temperature,1700000191.000,2.07183
temperature,1700000191.250,2.17874
temperature,1700000191.500,2.09580
temperature,1700000191.750,2.05144
temperature,1700000192.000,2.10925
temperature,1700000192.250,2.03716
temperature,1700000192.500,2.12771
temperature,1700000192.750,2.05319
temperature,1700000193.000,2.06052
temperature,1700000193.250,2.12099
temperature,1700000193.500,2.18980
temperature,1700000193.750,2.21226
temperature,1700000194.000,2.05045
temperature,1700000194.250,2.07269
temperature,1700000194.500,2.12838
temperature,1700000194.750,2.16112
temperature,1700000195.000,1.99456
temperature,1700000195.250,2.10721
temperature,1700000195.500,2.07857
temperature,1700000195.750,2.00681
temperature,1700000196.000,2.03623
temperature,1700000196.250,2.07478
temperature,1700000196.500,2.10619
temperature,1700000196.750,2.15374
temperature,1700000197.000,2.12113
temperature,1700000197.250,2.15087
temperature,1700000197.500,2.10491
temperature,1700000197.750,2.06841
temperature,1700000198.000,2.09455
temperature,1700000198.250,2.13859
temperature,1700000198.500,2.15552
temperature,1700000198.750,2.09657
temperature,1700000199.000,2.05758
temperature,1700000199.250,2.12090
temperature,1700000199.500,2.12809
temperature,1700000199.750,2.16589
temperature,1700000200.000,2.07039
temperature,1700000200.250,2.07100
temperature,1700000200.500,2.14227
temperature,1700000200.750,2.08415
temperature,1700000201.000,2.08210
temperature,1700000201.250,2.16735
temperature,1700000201.500,2.03615
temperature,1700000201.750,2.20756
temperature,1700000202.000,2.07417
temperature,1700000202.250,2.14819
temperature,1700000202.500,2.09946
temperature,1700000202.750,2.11851
temperature,1700000203.000,2.09184
temperature,1700000203.250,2.14785
temperature,1700000203.500,2.08769
temperature,1700000203.750,2.07644
temperature,1700000204.000,2.19578
temperature,1700000204.250,2.10661
temperature,1700000204.500,2.07138
temperature,1700000204.750,2.03067
temperature,1700000205.000,2.19848
temperature,1700000205.250,2.07762
temperature,1700000205.500,2.20832
temperature,1700000205.750,2.12517
temperature,1700000206.000,2.11238
temperature,1700000206.250,2.11372
temperature,1700000206.500,2.21603
temperature,1700000206.750,1.99561
temperature,1700000207.000,2.11593
temperature,1700000207.250,2.09194
temperature,1700000207.500,2.09453
temperature,1700000207.750,2.11263
temperature,1700000208.000,2.09182
temperature,1700000208.250,2.11452
temperature,1700000208.500,2.10390
temperature,1700000208.750,2.03937
temperature,1700000209.000,2.12408
temperature,1700000209.250,2.14078
temperature,1700000209.500,2.07783
temperature,1700000209.750,2.19829
temperature,1700000210.000,2.17162
temperature,1700000210.250,2.14699
temperature,1700000210.500,2.14633
temperature,1700000210.750,2.10619
temperature,1700000211.000,2.16170
temperature,1700000211.250,2.18311
temperature,1700000211.500,2.14492
temperature,1700000211.750,2.07594
temperature,1700000212.000,2.10241
temperature,1700000212.250,2.13301
temperature,1700000212.500,2.14614
temperature,1700000212.750,2.10031
temperature,1700000213.000,2.07578
temperature,1700000213.250,2.18326
temperature,1700000213.500,2.05036
temperature,1700000213.750,2.05683
temperature,1700000214.000,2.03747
temperature,1700000214.250,2.05657
temperature,1700000214.500,2.16604
temperature,1700000214.750,2.16764
temperature,1700000215.000,2.09981
temperature,1700000215.250,2.12825
temperature,1700000215.500,2.10283
temperature,1700000215.750,2.04368
temperature,1700000216.000,2.21411
temperature,1700000216.250,2.17186
temperature,1700000216.500,2.12077
temperature,1700000216.750,2.06017
temperature,1700000217.000,2.09164
temperature,1700000217.250,2.06819
temperature,1700000217.500,2.10761
temperature,1700000217.750,2.11815
temperature,1700000218.000,2.08552
