# channel,epoch_s,x_m,y_m,z_m
nav,1700000043.000,26.085,-40.220,-1440.064
nav,1700000043.100,25.135,-39.871,-1439.415
nav,1700000043.200,25.612,-40.331,-1440.387
nav,1700000043.300,26.117,-39.973,-1440.822
nav,1700000043.400,27.107,-39.623,-1439.876
nav,1700000043.500,25.760,-40.498,-1439.105
nav,1700000043.600,25.811,-40.174,-1440.283
nav,1700000043.700,27.802,-40.338,-1439.462
nav,1700000043.800,27.883,-39.082,-1439.737
nav,1700000043.900,27.988,-40.743,-1439.011
nav,1700000044.000,27.620,-40.280,-1439.589
nav,1700000044.100,27.419,-39.886,-1439.066
nav,1700000044.200,28.546,-40.794,-1439.583
nav,1700000044.300,28.971,-40.939,-1440.030
nav,1700000044.400,29.238,-39.865,-1439.259
nav,1700000044.500,29.930,-39.766,-1439.108
nav,1700000044.600,30.555,-40.107,-1439.807
nav,1700000044.700,29.614,-39.781,-1439.644
nav,1700000044.800,29.084,-38.845,-1439.189
nav,1700000044.900,29.434,-39.542,-1439.379
nav,1700000045.000,29.874,-39.719,-1439.943
nav,1700000045.100,30.376,-39.044,-1439.036
nav,1700000045.200,30.212,-40.254,-1439.447
nav,1700000045.300,30.473,-40.189,-1438.756
nav,1700000045.400,29.933,-39.569,-1439.377
nav,1700000045.500,31.188,-40.563,-1438.495
nav,1700000045.600,31.823,-39.520,-1439.890
nav,1700000045.700,31.815,-39.798,-1439.908
nav,1700000045.800,31.588,-39.818,-1438.800
nav,1700000045.900,31.889,-39.854,-1438.314
nav,1700000046.000,32.613,-41.434,-1439.183
nav,1700000046.100,32.118,-40.876,-1438.950
nav,1700000046.200,33.024,-40.543,-1438.802
nav,1700000046.300,32.142,-40.336,-1438.205
nav,1700000046.400,32.529,-39.769,-1439.853
nav,1700000046.500,33.931,-39.699,-1438.982
nav,1700000046.600,33.488,-40.705,-1438.273
nav,1700000046.700,33.238,-40.102,-1439.084
nav,1700000046.800,33.310,-39.653,-1438.684
nav,1700000046.900,34.126,-40.004,-1438.529
nav,1700000047.000,33.791,-38.885,-1439.543
nav,1700000047.100,34.830,-39.316,-1439.159
nav,1700000047.200,35.515,-39.502,-1438.222
nav,1700000047.300,34.614,-40.109,-1438.786
nav,1700000047.400,34.995,-39.299,-1438.565
nav,1700000047.500,34.544,-39.588,-1438.169
nav,1700000047.600,35.527,-39.627,-1438.740
nav,1700000047.700,34.936,-40.434,-1439.396
nav,1700000047.800,35.718,-40.042,-1438.773
nav,1700000047.900,34.322,-40.624,-1437.967
nav,1700000048.000,35.668,-39.820,-1439.198
nav,1700000048.100,36.919,-40.072,-1438.332
nav,1700000048.200,37.563,-39.242,-1438.606
nav,1700000048.300,36.303,-40.163,-1438.172
nav,1700000048.400,36.747,-40.198,-1437.669
nav,1700000048.500,36.943,-38.850,-1438.332
nav,1700000048.600,38.093,-39.821,-1437.871
nav,1700000048.700,37.038,-40.427,-1438.098
nav,1700000048.800,38.094,-39.980,-1438.946
nav,1700000048.900,37.120,-40.714,-1439.163
nav,1700000049.000,38.055,-39.437,-1438.261
nav,1700000049.100,37.070,-40.095,-1438.311
nav,1700000049.200,39.448,-40.729,-1438.401
nav,1700000049.300,39.453,-39.775,-1437.900
nav,1700000049.400,38.857,-39.835,-1437.769
nav,1700000049.500,38.595,-39.561,-1438.820
nav,1700000049.600,39.364,-39.911,-1438.418
nav,1700000049.700,39.389,-40.311,-1438.621
nav,1700000049.800,39.423,-40.552,-1437.900
nav,1700000049.900,39.225,-39.644,-1438.629
nav,1700000050.000,39.717,-40.312,-1437.352
nav,1700000050.100,40.365,-40.106,-1437.742
nav,1700000050.200,39.346,-40.022,-1436.969
nav,1700000050.300,40.666,-39.966,-1437.670
nav,1700000050.400,41.248,-40.999,-1438.762
nav,1700000050.500,41.105,-40.357,-1437.242
nav,1700000050.600,41.042,-40.967,-1438.509
nav,1700000050.700,40.025,-40.117,-1437.946
nav,1700000050.800,41.388,-39.461,-1437.229
nav,1700000050.900,41.715,-41.067,-1437.497
nav,1700000051.000,42.278,-39.845,-1437.292
nav,1700000051.100,41.618,-38.996,-1438.240
nav,1700000051.200,42.775,-40.844,-1438.203
nav,1700000051.300,43.358,-40.130,-1437.295
nav,1700000051.400,42.918,-40.052,-1437.011
nav,1700000051.500,42.882,-40.890,-1438.072
nav,1700000051.600,43.476,-39.802,-1438.432
nav,1700000051.700,43.038,-40.291,-1437.809
nav,1700000051.800,42.912,-40.314,-1437.969
nav,1700000051.900,44.186,-39.595,-1437.655
nav,1700000052.000,43.804,-39.930,-1437.969
nav,1700000052.100,43.627,-40.470,-1437.856
nav,1700000052.200,43.818,-39.919,-1437.152
nav,1700000052.300,43.806,-39.987,-1437.605
nav,1700000052.400,44.971,-40.006,-1438.201
nav,1700000052.500,44.369,-39.985,-1436.938
nav,1700000052.600,44.093,-39.827,-1436.836
nav,1700000052.700,45.323,-39.725,-1437.761
nav,1700000052.800,45.540,-40.810,-1438.561
nav,1700000052.900,46.271,-40.492,-1437.595
nav,1700000053.000,45.307,-40.705,-1437.433
nav,1700000053.100,45.835,-39.811,-1437.099
nav,1700000053.200,46.560,-39.881,-1436.516
nav,1700000053.300,46.066,-40.027,-1436.718
nav,1700000053.400,47.432,-40.711,-1437.420
nav,1700000053.500,47.679,-39.746,-1437.145
nav,1700000053.600,47.091,-40.192,-1437.078
nav,1700000053.700,47.274,-40.021,-1437.163
nav,1700000053.800,47.261,-39.734,-1435.725
nav,1700000053.900,46.912,-39.838,-1437.542
nav,1700000054.000,48.289,-39.977,-1436.760
nav,1700000054.100,48.788,-39.904,-1436.555
nav,1700000054.200,47.228,-39.205,-1436.914
nav,1700000054.300,49.139,-40.610,-1437.497
nav,1700000054.400,48.873,-40.009,-1436.920
nav,1700000054.500,49.542,-40.883,-1436.555
