# timestamp,sensor,value,x,y,z
14.000,temperature,3.436510,13.383,13.908,-93.368
14.000,turbidity,1.400805,13.383,13.908,-93.368
14.000,h2s,2.350752,13.383,13.908,-93.368
14.000,ph,7.830998,13.383,13.908,-93.368
14.200,temperature,3.239244,13.538,13.745,-93.306
14.250,turbidity,1.666368,13.576,13.703,-93.291
14.400,temperature,3.302261,13.691,13.572,-93.245
14.500,turbidity,1.517628,13.767,13.482,-93.216
14.500,h2s,1.834965,13.767,13.482,-93.216
14.600,temperature,3.270394,13.843,13.389,-93.186
14.750,turbidity,1.725194,13.956,13.244,-93.143
14.800,temperature,3.288428,13.993,13.195,-93.128
15.000,temperature,3.309534,14.142,12.990,-93.072
15.000,turbidity,0.820002,14.142,12.990,-93.072
15.000,h2s,2.374393,14.142,12.990,-93.072
15.000,ph,7.873548,14.142,12.990,-93.072
15.200,temperature,3.257910,14.289,12.776,-93.017
15.250,turbidity,1.364096,14.326,12.721,-93.003
15.400,temperature,3.295071,14.435,12.551,-92.963
15.500,turbidity,1.114703,14.507,12.436,-92.936
15.500,h2s,1.977571,14.507,12.436,-92.936
15.600,temperature,3.344683,14.579,12.317,-92.910
15.750,turbidity,1.370731,14.686,12.135,-92.872
15.800,temperature,3.349872,14.722,12.073,-92.859
16.000,temperature,3.332426,14.863,11.820,-92.810
16.000,turbidity,0.763496,14.863,11.820,-92.810
16.000,h2s,2.031923,14.863,11.820,-92.810
16.000,ph,10.873097,14.863,11.820,-92.810
16.200,temperature,3.324359,15.002,11.558,-92.761
16.250,turbidity,1.231300,15.037,11.491,-92.750
16.400,temperature,3.495316,15.140,11.286,-92.715
16.500,turbidity,1.655537,15.208,11.147,-92.692
16.500,h2s,2.327783,15.208,11.147,-92.692
16.600,temperature,3.448000,15.276,11.006,-92.669
16.750,turbidity,1.267530,15.377,10.790,-92.636
16.800,temperature,3.470588,15.410,10.717,-92.625
17.000,temperature,3.434697,15.543,10.420,-92.583
17.000,turbidity,0.992389,15.543,10.420,-92.583
17.000,h2s,2.282720,15.543,10.420,-92.583
17.000,ph,7.791700,15.543,10.420,-92.583
17.200,temperature,3.428720,15.674,10.115,-92.541
17.250,turbidity,0.956554,15.706,10.037,-92.531
17.400,temperature,3.457868,15.803,9.801,-92.502
17.500,turbidity,1.315371,15.867,9.642,-92.482
17.500,h2s,2.504138,15.867,9.642,-92.482
17.600,temperature,3.435913,15.931,9.480,-92.464
17.750,turbidity,1.433067,16.025,9.235,-92.436
17.800,temperature,3.597790,16.056,9.152,-92.427
18.000,temperature,3.531552,16.180,8.817,-92.392
18.000,turbidity,1.310785,16.180,8.817,-92.392
18.000,h2s,3.017464,16.180,8.817,-92.392
18.000,ph,7.825294,16.180,8.817,-92.392
18.200,temperature,3.620839,16.303,8.475,-92.358
18.250,turbidity,1.235964,16.333,8.388,-92.350
18.400,temperature,3.552235,16.423,8.126,-92.325
18.500,turbidity,1.041050,16.483,7.949,-92.310
18.500,h2s,2.692712,16.483,7.949,-92.310
18.600,temperature,3.610423,16.542,7.770,-92.295
18.750,turbidity,1.468680,16.629,7.500,-92.273
18.800,temperature,3.613088,16.658,7.409,-92.265
19.000,temperature,3.548973,16.773,7.042,-92.238
19.000,turbidity,1.291893,16.773,7.042,-92.238
19.000,h2s,2.891572,16.773,7.042,-92.238
19.000,ph,7.796978,16.773,7.042,-92.238
19.200,temperature,3.715313,16.887,6.670,-92.211
19.250,turbidity,1.125300,16.915,6.576,-92.205
19.400,temperature,3.619800,16.998,6.292,-92.187
19.500,turbidity,1.668416,17.053,6.101,-92.175
19.500,h2s,2.594017,17.053,6.101,-92.175
19.600,temperature,3.591316,17.107,5.909,-92.163
19.750,turbidity,1.453683,17.188,5.619,-92.147
19.800,temperature,3.684233,17.215,5.522,-92.142
20.000,temperature,3.654726,17.321,5.130,-92.122
20.000,turbidity,1.237618,17.321,5.130,-92.122
20.000,h2s,2.732731,17.321,5.130,-92.122
20.000,ph,7.809716,17.321,5.130,-92.122
20.200,temperature,3.672138,17.424,4.735,-92.103
20.250,turbidity,1.056647,17.450,4.635,-92.098
20.400,temperature,3.657297,17.526,4.335,-92.086
20.500,turbidity,1.368773,17.576,4.135,-92.078
20.500,h2s,2.837458,17.576,4.135,-92.078
20.600,temperature,3.544891,17.626,3.933,-92.070
20.750,turbidity,1.399588,17.700,3.629,-92.060
20.800,temperature,3.596915,17.724,3.527,-92.056
21.000,temperature,3.583839,17.820,3.119,-92.044
21.000,turbidity,1.247143,17.820,3.119,-92.044
21.000,h2s,2.438416,17.820,3.119,-92.044
21.000,ph,7.797355,17.820,3.119,-92.044
21.200,temperature,3.659184,17.914,2.708,-92.033
21.250,turbidity,1.344222,17.937,2.605,-92.030
21.400,temperature,3.597546,18.006,2.295,-92.024
21.500,turbidity,0.988681,18.052,2.088,-92.019
21.500,h2s,2.627341,18.052,2.088,-92.019
21.600,temperature,3.600091,18.097,1.880,-92.016
21.750,turbidity,1.207869,18.163,1.568,-92.011
21.800,temperature,3.536031,18.185,1.464,-92.010
22.000,temperature,3.553272,18.271,1.046,-92.005
22.000,turbidity,0.999714,18.271,1.046,-92.005
22.000,h2s,2.400639,18.271,1.046,-92.005
22.000,ph,7.822540,18.271,1.046,-92.005
22.200,temperature,3.489927,18.355,0.628,-92.002
22.250,turbidity,1.136193,18.376,0.523,-92.001
22.400,temperature,3.455240,18.437,0.209,-92.000
22.500,turbidity,0.986504,18.478,0.000,-92.000
22.500,h2s,2.413097,18.478,0.000,-92.000
22.600,temperature,3.441718,18.517,-0.209,-92.000
22.750,turbidity,1.339039,18.576,-0.523,-92.001
22.800,temperature,3.401753,18.596,-0.628,-92.002
23.000,temperature,3.485545,18.672,-1.046,-92.005
23.000,turbidity,1.355627,18.672,-1.046,-92.005
23.000,h2s,2.307662,18.672,-1.046,-92.005
23.000,ph,7.837594,18.672,-1.046,-92.005
23.200,temperature,3.277793,18.746,-1.464,-92.010
23.250,turbidity,1.231134,18.764,-1.568,-92.011
23.400,temperature,3.206656,18.818,-1.880,-92.016
23.500,turbidity,0.918458,18.853,-2.088,-92.019
23.500,h2s,1.940434,18.853,-2.088,-92.019
23.600,temperature,3.253823,18.888,-2.295,-92.024
23.750,turbidity,0.722411,18.939,-2.605,-92.030
23.800,temperature,3.158903,18.955,-2.708,-92.033
24.000,temperature,3.044661,19.021,-3.119,-92.044
24.000,turbidity,1.259556,19.021,-3.119,-92.044
24.000,h2s,1.737321,19.021,-3.119,-92.044
24.000,ph,7.896122,19.021,-3.119,-92.044
24.200,temperature,3.055179,19.085,-3.527,-92.056
24.250,turbidity,1.038515,19.100,-3.629,-92.060
24.400,temperature,3.174975,19.146,-3.933,-92.070
24.500,turbidity,0.472014,19.176,-4.135,-92.078
24.500,h2s,1.882009,19.176,-4.135,-92.078
24.600,temperature,2.976785,19.206,-4.335,-92.086
24.750,turbidity,1.027360,19.249,-4.635,-92.098
24.800,temperature,2.889247,19.263,-4.735,-92.103
25.000,temperature,3.040606,19.319,-5.130,-92.122
25.000,turbidity,1.062396,19.319,-5.130,-92.122
25.000,h2s,1.849548,19.319,-5.130,-92.122
25.000,ph,7.912194,19.319,-5.130,-92.122
25.200,temperature,2.837007,19.372,-5.522,-92.142
25.250,turbidity,0.473660,19.385,-5.619,-92.147
25.400,temperature,2.995662,19.423,-5.909,-92.163
25.500,turbidity,1.067904,19.447,-6.101,-92.175
25.500,h2s,1.607941,19.447,-6.101,-92.175
25.600,temperature,2.791568,19.472,-6.292,-92.187
25.750,turbidity,0.464210,19.507,-6.576,-92.205
25.800,temperature,2.857127,19.518,-6.670,-92.211
26.000,temperature,2.720391,19.563,-7.042,-92.238
26.000,turbidity,0.634704,19.563,-7.042,-92.238
26.000,h2s,1.240023,19.563,-7.042,-92.238
26.000,ph,7.901598,19.563,-7.042,-92.238
26.200,temperature,2.717698,19.605,-7.409,-92.265
26.250,turbidity,0.421147,19.616,-7.500,-92.273
26.400,temperature,2.653989,19.646,-7.770,-92.295
26.500,turbidity,0.562372,19.665,-7.949,-92.310
26.500,h2s,1.101728,19.665,-7.949,-92.310
26.600,temperature,2.614963,19.684,-8.126,-92.325
26.750,turbidity,0.435024,19.711,-8.388,-92.350
26.800,temperature,2.606182,19.720,-8.475,-92.358
27.000,temperature,2.587386,19.754,-8.817,-92.392
27.000,turbidity,1.088194,19.754,-8.817,-92.392
27.000,h2s,1.099325,19.754,-8.817,-92.392
27.000,ph,7.929471,19.754,-8.817,-92.392
27.200,temperature,2.542361,19.785,-9.152,-92.427
27.250,turbidity,0.691279,19.793,-9.235,-92.436
27.400,temperature,2.509571,19.815,-9.480,-92.464
27.500,turbidity,0.611471,19.829,-9.642,-92.482
27.500,h2s,1.185201,19.829,-9.642,-92.482
27.600,temperature,2.444688,19.842,-9.801,-92.502
27.750,turbidity,1.070879,19.861,-10.037,-92.531
27.800,temperature,2.451263,19.867,-10.115,-92.541
28.000,temperature,2.511634,19.890,-10.420,-92.583
28.000,turbidity,1.039172,19.890,-10.420,-92.583
28.000,h2s,0.977661,19.890,-10.420,-92.583
28.000,ph,7.973363,19.890,-10.420,-92.583
28.200,temperature,2.373093,19.911,-10.717,-92.625
28.250,turbidity,0.592044,19.916,-10.790,-92.636
28.400,temperature,2.403983,19.930,-11.006,-92.669
28.500,turbidity,0.779147,19.938,-11.147,-92.692
28.500,h2s,0.614384,19.938,-11.147,-92.692
28.600,temperature,2.431514,19.946,-11.286,-92.715
28.750,turbidity,0.507620,19.957,-11.491,-92.750
28.800,temperature,2.378301,19.961,-11.558,-92.761
29.000,temperature,2.384257,19.973,-11.820,-92.810
29.000,turbidity,0.643730,19.973,-11.820,-92.810
29.000,h2s,0.563321,19.973,-11.820,-92.810
29.000,ph,7.953340,19.973,-11.820,-92.810
29.200,temperature,2.267156,19.982,-12.073,-92.859
29.250,turbidity,0.345594,19.985,-12.135,-92.872
29.400,temperature,2.321807,19.990,-12.317,-92.910
29.500,turbidity,0.784863,19.993,-12.436,-92.936
29.500,h2s,0.370975,19.993,-12.436,-92.936
29.600,temperature,2.281055,19.996,-12.551,-92.963
29.750,turbidity,1.000065,19.998,-12.721,-93.003
29.800,temperature,2.271157,19.999,-12.776,-93.017
30.000,temperature,2.346422,20.000,-12.990,-93.072
30.000,turbidity,0.931517,20.000,-12.990,-93.072
30.000,h2s,0.663638,20.000,-12.990,-93.072
30.000,ph,7.971716,20.000,-12.990,-93.072
30.200,temperature,2.251050,19.999,-13.195,-93.128
30.250,turbidity,0.650675,19.998,-13.244,-93.143
30.400,temperature,2.268648,19.996,-13.389,-93.186
30.500,turbidity,0.066598,19.993,-13.482,-93.216
30.500,h2s,0.302316,19.993,-13.482,-93.216
30.600,temperature,2.157836,19.990,-13.572,-93.245
30.750,turbidity,0.437648,19.985,-13.703,-93.291
30.800,temperature,2.324693,19.982,-13.745,-93.306
31.000,temperature,2.274966,19.973,-13.908,-93.368
31.000,turbidity,0.592428,19.973,-13.908,-93.368
31.000,h2s,0.364292,19.973,-13.908,-93.368
31.000,ph,7.945301,19.973,-13.908,-93.368
31.200,temperature,2.222919,19.961,-14.059,-93.431
31.250,turbidity,0.218431,19.957,-14.095,-93.447
31.400,temperature,2.204208,19.946,-14.200,-93.495
31.500,turbidity,0.169135,19.938,-14.266,-93.528
31.500,h2s,0.733262,19.938,-14.266,-93.528
31.600,temperature,2.245718,19.930,-14.329,-93.561
31.750,turbidity,1.055575,19.916,-14.419,-93.611
31.800,temperature,2.271799,19.911,-14.447,-93.628
32.000,temperature,2.297138,19.890,-14.554,-93.696
32.000,turbidity,0.861700,19.890,-14.554,-93.696
32.000,h2s,0.595081,19.890,-14.554,-93.696
32.000,ph,7.973646,19.890,-14.554,-93.696
32.200,temperature,2.249011,19.867,-14.650,-93.765
32.250,turbidity,0.763160,19.861,-14.672,-93.783
32.400,temperature,2.209255,19.842,-14.734,-93.836
32.500,turbidity,0.820941,19.829,-14.772,-93.872
32.500,h2s,0.287746,19.829,-14.772,-93.872
32.600,temperature,2.254364,19.815,-14.807,-93.908
32.750,turbidity,0.252692,19.793,-14.854,-93.962
32.800,temperature,2.243598,19.785,-14.868,-93.981
33.000,temperature,2.208238,19.754,-14.918,-94.055
33.000,turbidity,0.342457,19.754,-14.918,-94.055
33.000,h2s,0.283124,19.754,-14.918,-94.055
33.000,ph,7.962865,19.754,-14.918,-94.055
33.200,temperature,2.243146,19.720,-14.956,-94.130
33.250,turbidity,0.676318,19.711,-14.963,-94.149
33.400,temperature,2.243684,19.684,-14.982,-94.207
33.500,turbidity,0.701008,19.665,-14.991,-94.245
33.500,h2s,-0.037840,19.665,-14.991,-94.245
33.600,temperature,2.206015,19.646,-14.997,-94.284
33.750,turbidity,0.196550,19.616,-15.000,-94.343
33.800,temperature,2.186360,19.605,-15.000,-94.363
34.000,temperature,2.247781,19.563,-14.991,-94.443
34.000,turbidity,0.659384,19.563,-14.991,-94.443
34.000,h2s,0.336532,19.563,-14.991,-94.443
34.000,ph,7.952458,19.563,-14.991,-94.443
34.200,temperature,2.169598,19.518,-14.970,-94.524
34.250,turbidity,0.592900,19.507,-14.963,-94.544
34.400,temperature,2.164622,19.472,-14.938,-94.606
34.500,turbidity,0.899442,19.447,-14.918,-94.647
34.500,h2s,0.535827,19.447,-14.918,-94.647
34.600,temperature,2.247043,19.423,-14.894,-94.689
34.750,turbidity,0.716125,19.385,-14.854,-94.752
34.800,temperature,2.268747,19.372,-14.839,-94.773
35.000,temperature,2.261322,19.319,-14.772,-94.858
35.000,turbidity,1.111420,19.319,-14.772,-94.858
35.000,h2s,0.611758,19.319,-14.772,-94.858
35.000,ph,7.971745,19.319,-14.772,-94.858
35.200,temperature,2.275582,19.263,-14.694,-94.944
35.250,turbidity,0.522249,19.249,-14.672,-94.965
35.400,temperature,2.161564,19.206,-14.604,-95.031
35.500,turbidity,0.301976,19.176,-14.554,-95.075
35.500,h2s,0.378395,19.176,-14.554,-95.075
35.600,temperature,2.305241,19.146,-14.502,-95.119
35.750,turbidity,1.120236,19.100,-14.419,-95.185
35.800,temperature,2.361675,19.085,-14.390,-95.208
36.000,temperature,2.343691,19.021,-14.266,-95.298
36.000,turbidity,0.763197,19.021,-14.266,-95.298
36.000,h2s,0.137107,19.021,-14.266,-95.298
36.000,ph,7.975491,19.021,-14.266,-95.298
36.200,temperature,2.356935,18.955,-14.131,-95.389
36.250,turbidity,0.642017,18.939,-14.095,-95.411
36.400,temperature,2.344283,18.888,-13.985,-95.480
36.500,turbidity,0.418340,18.853,-13.908,-95.526
36.500,h2s,0.497803,18.853,-13.908,-95.526
36.600,temperature,2.364170,18.818,-13.828,-95.573
36.750,turbidity,0.577471,18.764,-13.703,-95.643
36.800,temperature,2.363035,18.746,-13.660,-95.666
37.000,temperature,2.411216,18.672,-13.482,-95.761
37.000,turbidity,0.575025,18.672,-13.482,-95.761
37.000,h2s,0.538198,18.672,-13.482,-95.761
37.000,ph,7.952307,18.672,-13.482,-95.761
37.200,temperature,2.362772,18.596,-13.293,-95.856
37.250,turbidity,0.362937,18.576,-13.244,-95.880
37.400,temperature,2.515587,18.517,-13.094,-95.952
37.500,turbidity,0.085550,18.478,-12.990,-96.000
37.500,h2s,0.583385,18.478,-12.990,-96.000
37.600,temperature,2.428537,18.437,-12.884,-96.048
37.750,turbidity,0.616421,18.376,-12.721,-96.122
37.800,temperature,2.542483,18.355,-12.665,-96.146
38.000,temperature,2.599971,18.271,-12.436,-96.244
38.000,turbidity,0.986672,18.271,-12.436,-96.244
38.000,h2s,1.038780,18.271,-12.436,-96.244
38.000,ph,7.924175,18.271,-12.436,-96.244
38.200,temperature,2.611688,18.185,-12.197,-96.343
38.250,turbidity,1.169310,18.163,-12.135,-96.368
38.400,temperature,2.725039,18.097,-11.948,-96.443
38.500,turbidity,1.104822,18.052,-11.820,-96.493
38.500,h2s,1.109447,18.052,-11.820,-96.493
38.600,temperature,2.550696,18.006,-11.690,-96.543
38.750,turbidity,1.150636,17.937,-11.491,-96.619
38.800,temperature,2.673525,17.914,-11.423,-96.644
39.000,temperature,2.810908,17.820,-11.147,-96.746
39.000,turbidity,0.549255,17.820,-11.147,-96.746
39.000,h2s,1.553570,17.820,-11.147,-96.746
39.000,ph,7.888763,17.820,-11.147,-96.746
39.200,temperature,2.735502,17.724,-10.863,-96.848
39.250,turbidity,0.972882,17.700,-10.790,-96.874
39.400,temperature,2.814800,17.626,-10.570,-96.951
39.500,turbidity,1.090587,17.576,-10.420,-97.003
39.500,h2s,1.390679,17.576,-10.420,-97.003
39.600,temperature,2.941024,17.526,-10.268,-97.055
39.750,turbidity,1.148185,17.450,-10.037,-97.133
39.800,temperature,2.908463,17.424,-9.959,-97.159
40.000,temperature,3.050149,17.321,-9.642,-97.264
40.000,turbidity,0.984490,17.321,-9.642,-97.264
40.000,h2s,1.695231,17.321,-9.642,-97.264
40.000,ph,7.922512,17.321,-9.642,-97.264
40.200,temperature,3.142802,17.215,-9.317,-97.369
40.250,turbidity,1.091975,17.188,-9.235,-97.395
40.400,temperature,3.203205,17.107,-8.985,-97.475
40.500,turbidity,1.711834,17.053,-8.817,-97.528
40.500,h2s,2.362756,17.053,-8.817,-97.528
40.600,temperature,3.288216,16.998,-8.646,-97.581
40.750,turbidity,1.435836,16.915,-8.388,-97.661
40.800,temperature,3.325875,16.887,-8.301,-97.688
41.000,temperature,3.459024,16.773,-7.949,-97.795
41.000,turbidity,1.350396,16.773,-7.949,-97.795
41.000,h2s,2.221192,16.773,-7.949,-97.795
41.000,ph,7.811947,16.773,-7.949,-97.795
41.200,temperature,3.521065,16.658,-7.591,-97.902
41.250,turbidity,1.462000,16.629,-7.500,-97.929
41.400,temperature,8.184576,16.542,-7.226,-98.010
41.500,turbidity,1.175139,16.483,-7.042,-98.065
41.500,h2s,2.922426,16.483,-7.042,-98.065
41.600,temperature,3.633446,16.423,-6.856,-98.119
41.750,turbidity,1.562067,16.333,-6.576,-98.200
41.800,temperature,3.758960,16.303,-6.481,-98.228
42.000,temperature,3.900998,16.180,-6.101,-98.337
42.000,turbidity,1.470224,16.180,-6.101,-98.337
42.000,h2s,3.365631,16.180,-6.101,-98.337
42.000,ph,7.778004,16.180,-6.101,-98.337
42.200,temperature,4.023795,16.056,-5.716,-98.446
42.250,turbidity,1.749640,16.025,-5.619,-98.474
42.400,temperature,4.196259,15.931,-5.327,-98.556
42.500,turbidity,1.351974,15.867,-5.130,-98.611
42.500,h2s,3.327918,15.867,-5.130,-98.611
42.600,temperature,4.242015,15.803,-4.933,-98.666
42.750,turbidity,1.847066,15.706,-4.635,-98.749
42.800,temperature,4.343379,15.674,-4.536,-98.776
43.000,temperature,4.454015,15.543,-4.135,-98.887
43.000,turbidity,1.581770,15.543,-4.135,-98.887
43.000,h2s,4.062447,15.543,-4.135,-98.887
43.000,ph,7.695382,15.543,-4.135,-98.887
43.200,temperature,4.518268,15.410,-3.730,-98.997
43.250,turbidity,1.968272,15.377,-3.629,-99.025
